Title,Author,Time
The accused Toronto van driver appears to have lauded an American mass killer,"By Michelle Krupa, CNN","Updated 11:08 AM ET, Tue April 24, 2018"
Scramble for answers as Ronny Jackson allegations threaten to upend nomination,"By Juana Summers, Phil Mattingly, Manu Raju, Ted Barrett and Jeff Zeleny, CNN","Updated 8:42 AM ET, Tue April 24, 2018"
